"Date","Price","Open","High","Low","Vol.","Change %"
"07/26/2016","162.12","162.65","163.60","161.37","2.89M","-0.33%"
"07/25/2016","162.65","162.00","162.88","161.75","2.80M","0.36%"
"07/22/2016","162.07","160.78","162.17","160.48","2.52M","1.01%"
"07/21/2016","160.45","160.75","161.85","159.89","4.05M","-0.56%"
"07/20/2016","161.36","159.97","161.71","159.60","4.38M","1.12%"
"07/19/2016","159.58","161.78","162.14","157.89","7.12M","-0.18%"
"07/18/2016","159.86","159.30","160.75","158.73","6.73M","0.05%"
"07/15/2016","159.78","159.90","159.98","158.50","4.48M","-0.31%"
"07/14/2016","160.28","158.81","161.40","158.58","4.64M","1.43%"
"07/13/2016","158.02","157.75","158.34","157.06","2.75M","0.62%"
"07/12/2016","157.04","156.00","157.12","155.52","3.84M","1.10%"
"07/11/2016","155.33","154.60","156.04","154.50","2.83M","0.56%"
"07/08/2016","154.46","154.00","154.60","153.08","3.04M","1.22%"
"07/07/2016","152.60","152.75","153.69","151.89","2.14M","0.15%"
"07/06/2016","152.37","151.85","152.41","149.92","2.57M","0.45%"
"07/05/2016","151.68","151.19","152.00","150.76","2.47M","-0.44%"
"07/01/2016","152.35","152.19","152.97","151.40","2.66M","0.38%"
"06/30/2016","151.78","148.86","151.91","148.67","3.97M","2.24%"
"06/29/2016","148.46","146.50","148.48","146.45","3.37M","1.89%"
"06/28/2016","145.70","144.78","145.73","144.22","4.00M","1.53%"
"06/27/2016","143.50","146.18","146.60","142.50","5.17M","-2.11%"
"06/24/2016","146.59","149.97","150.61","146.18","9.08M","-5.64%"
"06/23/2016","155.35","153.45","155.48","152.60","3.97M","1.59%"
"06/22/2016","152.92","153.75","154.71","152.27","2.83M","-0.73%"
"06/21/2016","154.05","154.16","154.57","153.69","2.76M","0.29%"
"06/20/2016","153.61","152.60","154.67","152.52","3.57M","1.07%"
"06/17/2016","151.99","150.96","152.72","150.60","4.66M","0.62%"
"06/16/2016","151.06","150.19","151.29","149.00","2.45M","0.25%"
"06/15/2016","150.68","151.46","151.79","150.60","2.26M","-0.25%"
"06/14/2016","151.06","151.28","151.79","150.40","2.87M","-0.15%"
"06/13/2016","151.28","151.63","152.50","150.28","3.61M","-0.72%"
"06/10/2016","152.37","152.79","153.33","151.86","3.12M","-0.68%"
"06/09/2016","153.42","152.92","153.76","152.73","2.02M","-0.38%"
"06/08/2016","154.00","153.53","154.09","153.04","2.94M","0.44%"
"06/07/2016","153.33","153.31","153.93","152.66","4.46M","0.39%"
"06/06/2016","152.73","153.09","153.95","152.34","2.38M","-0.10%"
"06/03/2016","152.89","152.40","153.04","151.70","2.33M","-0.40%"
"06/02/2016","153.50","152.59","153.50","152.12","2.64M","0.65%"
"06/01/2016","152.51","153.00","153.27","151.54","2.66M","-0.80%"
"05/31/2016","153.74","152.56","153.81","152.27","5.84M","0.59%"
"05/27/2016","152.84","152.35","152.93","152.15","2.46M","0.26%"
"05/26/2016","152.44","151.55","152.51","151.05","3.06M","0.49%"
"05/25/2016","151.69","148.93","152.09","148.50","4.36M","2.28%"
"05/24/2016","148.31","146.88","148.75","146.88","2.93M","1.05%"
"05/23/2016","146.77","147.61","147.95","146.66","2.10M","-0.33%"
"05/20/2016","147.25","145.71","147.51","145.55","3.67M","1.60%"
"05/19/2016","144.93","146.48","146.93","143.96","3.69M","-1.64%"
"05/18/2016","147.34","147.99","148.52","146.36","2.49M","-0.45%"
"05/17/2016","148.00","149.21","149.50","147.29","3.49M","-0.98%"
"05/16/2016","149.46","147.65","149.99","147.44","3.07M","1.18%"
"05/13/2016","147.72","148.79","149.86","147.42","2.40M","-0.75%"
"05/12/2016","148.84","149.21","149.39","147.11","3.25M","-0.07%"
"05/11/2016","148.95","149.71","151.09","148.74","3.09M","-0.68%"
"05/10/2016","149.97","148.24","150.04","147.74","3.99M","1.78%"
"05/09/2016","147.34","147.70","148.20","147.01","4.30M","0.03%"
"05/06/2016","147.29","144.86","147.97","144.47","4.90M","0.56%"
"05/05/2016","146.47","145.95","147.30","145.45","6.50M","1.54%"
"05/04/2016","144.25","143.36","145.00","143.31","2.58M","0.08%"
"05/03/2016","144.13","144.65","144.90","142.90","3.58M","-0.78%"
"05/02/2016","145.27","146.56","147.00","144.43","3.50M","-0.46%"
"04/29/2016","145.94","146.49","147.34","144.19","4.23M","-0.77%"
"04/28/2016","147.07","149.75","150.18","146.72","3.79M","-2.26%"
"04/27/2016","150.47","149.35","150.78","148.97","3.11M","0.93%"
"04/26/2016","149.08","148.65","149.79","147.90","2.98M","0.18%"
"04/25/2016","148.81","148.16","148.90","147.11","2.85M","0.21%"
"04/22/2016","148.50","149.44","151.00","147.50","5.19M","-0.54%"
"04/21/2016","149.30","146.58","150.12","146.46","6.02M","2.18%"
"04/20/2016","146.11","144.24","147.20","144.00","6.75M","1.47%"
"04/19/2016","144.00","146.47","146.95","142.61","13.19M","-5.59%"
"04/18/2016","152.53","151.75","153.14","151.49","6.58M","0.53%"
"04/15/2016","151.72","151.04","152.10","150.96","3.66M","0.37%"
"04/14/2016","151.16","151.50","152.76","150.38","3.18M","-0.05%"
"04/13/2016","151.23","150.75","151.23","149.63","3.17M","1.07%"
"04/12/2016","149.63","149.61","150.11","148.58","3.60M","0.25%"
"04/11/2016","149.25","150.26","151.95","149.22","3.85M","-0.07%"
"04/08/2016","149.35","149.06","149.99","148.12","3.29M","0.74%"
"04/07/2016","148.25","149.07","149.60","148.00","3.66M","-1.18%"
"04/06/2016","150.02","149.90","150.15","147.81","4.19M","0.01%"
"04/05/2016","150.00","151.43","151.60","149.65","3.34M","-1.36%"
"04/04/2016","152.07","152.34","153.52","151.91","3.93M","-0.30%"
"04/01/2016","152.52","150.51","152.96","150.25","3.93M","0.71%"
"03/31/2016","151.45","149.79","153.10","149.36","6.78M","2.05%"
"03/30/2016","148.41","149.95","150.41","148.32","3.33M","-0.62%"
"03/29/2016","149.33","147.59","149.76","147.50","3.14M","0.63%"
"03/28/2016","148.40","147.75","148.65","147.23","3.27M","0.30%"
"03/24/2016","147.95","144.98","148.22","144.49","5.04M","1.75%"
"03/23/2016","145.40","148.00","148.03","145.13","4.76M","-1.82%"
"03/22/2016","148.10","148.06","149.28","147.84","4.08M","-0.36%"
"03/21/2016","148.63","147.30","148.71","146.72","3.72M","1.05%"
"03/18/2016","147.09","147.40","147.51","145.51","12.09M","0.03%"
"03/17/2016","147.04","144.78","147.32","144.45","5.82M","1.55%"
"03/16/2016","144.79","142.62","144.88","142.11","4.22M","1.28%"
"03/15/2016","142.96","141.74","143.33","141.54","3.71M","0.13%"
"03/14/2016","142.78","142.01","143.19","141.04","4.05M","0.30%"
"03/11/2016","142.36","141.73","142.92","140.51","4.42M","1.55%"
"03/10/2016","140.19","141.24","141.47","138.09","4.02M","-0.16%"
"03/09/2016","140.41","139.31","142.17","139.23","4.41M","0.96%"
"03/08/2016","139.07","139.71","140.35","137.42","5.58M","-0.77%"
"03/07/2016","140.15","137.28","140.51","136.87","5.17M","1.71%"
"03/04/2016","137.80","137.53","139.42","137.02","3.97M","0.00%"
"03/03/2016","137.80","137.22","137.96","136.07","5.16M","1.10%"
"03/02/2016","136.30","133.70","137.44","133.22","5.22M","1.44%"
"03/01/2016","134.37","132.24","134.64","132.03","3.79M","2.55%"
"02/29/2016","131.03","132.00","133.36","130.90","4.43M","-0.76%"
"02/26/2016","132.03","134.51","134.92","131.95","4.39M","-1.84%"
"02/25/2016","134.50","133.29","134.51","130.88","4.36M","1.28%"
"02/24/2016","132.80","131.55","133.49","129.68","4.12M","0.30%"
"02/23/2016","132.40","133.14","133.41","132.01","3.44M","-1.02%"
"02/22/2016","133.77","133.84","134.31","132.41","4.46M","0.52%"
"02/19/2016","133.08","132.36","133.65","130.84","5.13M","0.48%"
"02/18/2016","132.45","130.00","134.00","129.75","9.95M","5.04%"
"02/17/2016","126.10","123.71","126.57","123.25","4.82M","2.74%"
"02/16/2016","122.74","121.83","123.09","121.34","4.06M","1.40%"
"02/12/2016","121.04","119.26","121.05","118.35","4.94M","2.71%"
"02/11/2016","117.85","118.78","119.66","116.90","7.31M","-1.95%"
"02/10/2016","120.19","125.00","125.29","119.84","6.47M","-3.13%"
"02/09/2016","124.07","126.12","126.93","123.77","5.96M","-2.29%"
"02/08/2016","126.98","126.00","127.51","124.13","7.36M","-1.24%"
"02/05/2016","128.57","127.22","128.64","125.85","7.18M","0.72%"
"02/04/2016","127.65","125.08","128.50","125.00","5.27M","2.35%"
"02/03/2016","124.72","123.99","125.45","122.29","6.22M","1.45%"
"02/02/2016","122.94","123.67","124.14","122.64","3.29M","-1.51%"
"02/01/2016","124.83","124.40","125.29","123.71","3.57M","0.03%"
"01/29/2016","124.79","123.28","124.79","122.96","8.25M","2.10%"
"01/28/2016","122.22","121.26","122.83","121.01","3.94M","1.04%"
"01/27/2016","120.96","122.73","123.37","120.65","5.03M","-1.33%"
"01/26/2016","122.59","122.25","123.61","122.24","4.62M","0.42%"
"01/25/2016","122.08","122.10","124.23","121.64","5.45M","-0.34%"
"01/22/2016","122.50","124.67","124.74","121.77","9.24M","-0.33%"
"01/21/2016","122.91","121.30","125.10","120.58","8.85M","0.86%"
"01/20/2016","121.86","118.46","123.99","118.00","16.16M","-4.88%"
"01/19/2016","128.11","130.11","132.10","128.06","9.98M","-1.48%"
"01/15/2016","130.03","130.01","130.88","128.87","9.01M","-2.17%"
"01/14/2016","132.91","131.93","133.79","131.22","5.71M","1.33%"
"01/13/2016","131.17","133.50","134.28","131.10","4.70M","-1.30%"
"01/12/2016","132.90","133.65","133.78","131.13","5.08M","-0.25%"
"01/11/2016","133.23","131.81","133.82","131.76","4.97M","1.22%"
"01/08/2016","131.63","133.18","133.82","131.32","4.76M","-0.93%"
"01/07/2016","132.86","133.70","135.02","132.43","7.03M","-1.71%"
"01/06/2016","135.17","134.38","135.58","133.62","4.31M","-0.50%"
"01/05/2016","135.85","136.76","136.89","134.85","3.92M","-0.07%"
"01/04/2016","135.95","135.60","135.97","134.24","5.23M","-1.21%"
"12/31/2015","137.62","139.07","139.10","137.57","3.46M","-1.23%"
"12/30/2015","139.34","139.58","140.44","139.22","2.99M","-0.31%"
"12/29/2015","139.78","138.25","140.06","138.20","3.94M","1.58%"
"12/28/2015","137.61","137.74","138.04","136.54","3.14M","-0.46%"
"12/24/2015","138.25","138.43","138.88","138.11","1.50M","-0.21%"
"12/23/2015","138.54","138.30","139.31","138.11","5.16M","0.44%"
"12/22/2015","137.93","135.88","138.19","135.65","4.26M","1.79%"
"12/21/2015","135.50","135.83","135.83","134.02","5.62M","0.44%"
"12/18/2015","134.90","136.41","136.96","134.27","10.03M","-1.35%"
"12/17/2015","136.75","139.35","139.50","136.31","4.09M","-1.82%"
"12/16/2015","139.29","139.12","139.65","137.79","4.35M","1.09%"
"12/15/2015","137.79","137.40","138.97","137.28","4.24M","1.37%"
"12/14/2015","135.93","135.31","136.14","134.02","5.14M","1.01%"
"12/11/2015","134.57","135.23","135.44","133.91","5.33M","-1.62%"
"12/10/2015","136.78","137.03","137.85","135.72","4.22M","0.12%"
"12/09/2015","136.61","137.38","139.84","136.23","4.61M","-1.04%"
"12/08/2015","138.05","138.28","139.06","137.53","3.91M","-1.07%"
"12/07/2015","139.55","140.16","140.41","138.81","3.28M","-0.63%"
"12/04/2015","140.43","138.09","141.02","137.99","4.57M","1.09%"
"12/03/2015","138.92","140.10","140.73","138.19","5.91M","-0.56%"
"12/02/2015","139.70","140.93","141.21","139.50","3.73M","-1.12%"
"12/01/2015","141.28","139.58","141.40","139.58","4.20M","1.33%"
"11/30/2015","139.42","138.61","139.90","138.52","4.55M","0.69%"
"11/27/2015","138.46","138.00","138.81","137.21","1.42M","0.33%"
"11/25/2015","138.00","138.37","138.43","137.38","3.24M","-0.43%"
"11/24/2015","138.60","137.65","139.34","137.31","3.41M","0.10%"
"11/23/2015","138.46","138.53","138.87","137.12","5.14M","-0.03%"
"11/20/2015","138.50","137.37","138.91","137.25","5.18M","1.29%"
"11/19/2015","136.74","136.21","137.74","136.01","4.75M","0.68%"
"11/18/2015","135.82","134.79","135.91","134.26","4.15M","1.49%"
"11/17/2015","133.82","134.22","134.82","133.31","2.82M","0.08%"
"11/16/2015","133.71","131.79","134.09","131.79","4.19M","1.49%"
"11/13/2015","131.75","132.95","133.00","131.65","4.61M","-0.97%"
"11/12/2015","133.04","134.70","134.70","133.01","4.70M","-1.47%"
"11/11/2015","135.02","136.09","136.20","134.50","3.16M","-0.33%"
"11/10/2015","135.47","135.36","135.74","134.12","4.52M","0.12%"
"11/09/2015","135.31","137.92","138.08","134.88","8.08M","-2.13%"
"11/06/2015","138.25","138.60","139.55","137.87","4.74M","-1.17%"
"11/05/2015","139.89","141.61","142.38","139.63","5.10M","-1.23%"
"11/04/2015","141.63","142.55","142.65","141.30","3.52M","-0.18%"
"11/03/2015","141.88","140.02","142.80","139.90","4.35M","1.08%"
"11/02/2015","140.37","140.50","140.52","139.57","3.82M","0.21%"
"10/30/2015","140.08","140.44","141.33","139.90","3.98M","-0.33%"
"10/29/2015","140.55","140.36","140.82","139.02","3.71M","-0.20%"
"10/28/2015","140.83","137.92","141.23","137.50","8.51M","2.15%"
"10/27/2015","137.86","143.51","143.83","137.33","15.01M","-4.04%"
"10/26/2015","143.66","144.75","145.00","143.21","3.49M","-0.70%"
"10/23/2015","144.68","144.61","145.49","143.70","5.37M","0.41%"
"10/22/2015","144.09","141.74","145.07","141.62","5.58M","2.25%"
"10/21/2015","140.92","140.25","142.66","139.30","7.13M","0.20%"
"10/20/2015","140.64","142.49","142.88","140.27","16.03M","-5.75%"
"10/19/2015","149.22","149.85","149.97","148.38","7.95M","-0.78%"
"10/16/2015","150.39","150.45","151.20","149.26","3.48M","0.20%"
"10/15/2015","150.09","150.91","151.24","148.58","3.48M","0.05%"
"10/14/2015","150.01","149.60","150.65","149.02","3.35M","0.26%"
"10/13/2015","149.62","150.78","150.78","149.18","3.92M","-1.01%"
"10/12/2015","151.14","152.40","152.58","150.85","3.23M","-0.82%"
"10/09/2015","152.39","152.46","153.15","151.27","3.53M","0.07%"
"10/08/2015","152.28","149.69","153.02","149.29","4.79M","1.46%"
"10/07/2015","150.09","150.04","150.73","148.86","2.99M","0.88%"
"10/06/2015","148.78","149.06","150.15","148.49","3.02M","-0.17%"
"10/05/2015","149.04","145.82","149.89","145.82","5.13M","3.08%"
"10/02/2015","144.58","141.05","144.59","140.56","3.05M","0.69%"
"10/01/2015","143.59","145.31","145.67","141.59","3.88M","-0.95%"
"09/30/2015","144.97","143.69","145.71","143.66","3.95M","1.75%"
"09/29/2015","142.47","141.99","142.66","141.15","4.76M","-0.04%"
"09/28/2015","142.52","144.42","145.38","142.47","4.32M","-1.99%"
"09/25/2015","145.42","145.55","146.27","144.53","3.47M","0.70%"
"09/24/2015","144.41","142.60","145.07","141.95","3.28M","0.52%"
"09/23/2015","143.66","144.21","144.57","142.75","2.67M","-0.53%"
"09/22/2015","144.43","144.62","145.06","143.77","3.56M","-1.40%"
"09/21/2015","146.48","145.39","146.98","144.92","3.83M","1.36%"
"09/18/2015","144.51","146.05","146.38","143.98","7.98M","-2.45%"
"09/17/2015","148.14","148.10","149.68","147.30","4.00M","-0.18%"
"09/16/2015","148.41","147.84","148.89","147.54","2.80M","0.60%"
"09/15/2015","147.53","146.60","147.93","145.76","2.72M","1.29%"
"09/14/2015","145.65","147.37","147.37","145.41","3.23M","-1.17%"
"09/11/2015","147.37","145.91","147.50","145.67","3.12M","0.80%"
"09/10/2015","146.20","145.85","147.16","144.51","3.46M","0.79%"
"09/09/2015","145.05","148.74","149.04","144.85","3.41M","-1.48%"
"09/08/2015","147.23","145.86","147.34","145.66","3.93M","2.46%"
"09/04/2015","143.70","144.57","145.40","143.32","4.20M","-2.10%"
"09/03/2015","146.78","146.05","148.03","145.77","3.60M","1.19%"
"09/02/2015","145.05","144.74","145.08","143.18","4.25M","1.66%"
"09/01/2015","142.68","144.91","144.98","141.85","5.27M","-3.52%"
"08/31/2015","147.89","147.38","148.40","146.26","4.09M","-0.06%"
"08/28/2015","147.98","147.75","148.20","147.18","4.08M","-0.38%"
"08/27/2015","148.54","148.50","148.97","145.66","4.98M","1.25%"
"08/26/2015","146.70","144.09","146.98","142.14","6.22M","4.07%"
"08/25/2015","140.96","146.94","147.11","140.62","7.07M","-1.75%"
"08/24/2015","143.47","143.47","147.76","142.32","10.19M","-3.61%"
"08/21/2015","148.85","151.50","153.19","148.70","7.36M","-2.50%"
"08/20/2015","152.66","152.74","153.91","152.50","4.01M","-0.83%"
"08/19/2015","153.94","155.15","155.67","153.41","4.21M","-1.33%"
"08/18/2015","156.01","155.51","156.52","155.25","2.02M","-0.19%"
"08/17/2015","156.31","155.20","156.69","154.70","2.25M","0.36%"
"08/14/2015","155.75","155.00","156.21","154.58","3.23M","0.44%"
"08/13/2015","155.07","156.06","156.09","154.32","2.53M","-0.70%"
"08/12/2015","156.16","154.26","156.52","153.95","3.62M","0.42%"
"08/11/2015","155.51","155.96","155.99","154.86","3.17M","-0.79%"
"08/10/2015","156.75","156.77","157.47","156.12","4.61M","1.05%"
"08/07/2015","155.12","155.89","156.25","154.34","3.79M","-0.77%"
"08/06/2015","156.32","157.13","157.54","156.18","3.00M","-1.00%"
"08/05/2015","157.90","159.10","159.54","157.48","3.47M","0.19%"
"08/04/2015","157.60","158.40","158.82","156.87","5.26M","-0.70%"
"08/03/2015","158.71","161.70","161.85","157.90","4.62M","-2.02%"
"07/31/2015","161.99","161.40","162.06","160.63","3.58M","0.64%"
"07/30/2015","160.96","160.50","161.40","159.75","1.99M","-0.08%"
"07/29/2015","161.09","160.00","161.50","159.39","3.38M","0.65%"
"07/28/2015","160.05","159.91","160.19","158.50","2.72M","0.62%"
"07/27/2015","159.07","159.00","160.18","158.60","3.71M","-0.43%"
"07/24/2015","159.75","161.29","161.93","159.41","3.78M","-1.22%"
"07/23/2015","161.73","160.27","162.75","159.83","5.03M","0.86%"
"07/22/2015","160.35","162.73","163.07","159.70","7.18M","-1.67%"
"07/21/2015","163.07","164.34","166.35","162.02","13.75M","-5.86%"
"07/20/2015","173.22","172.79","173.78","172.14","7.38M","0.41%"
"07/17/2015","172.51","170.33","172.52","170.10","4.36M","0.88%"
"07/16/2015","171.00","169.47","171.09","169.16","3.53M","1.47%"
"07/15/2015","168.53","168.48","169.27","168.00","2.00M","-0.05%"
"07/14/2015","168.61","169.43","169.54","168.24","3.03M","-0.45%"
"07/13/2015","169.38","167.93","169.89","167.52","4.23M","1.46%"
"07/10/2015","166.95","165.66","167.40","165.51","4.54M","1.89%"
"07/09/2015","163.85","165.34","165.51","163.70","4.20M","0.42%"
"07/08/2015","163.16","164.00","164.94","162.68","2.78M","-1.12%"
"07/07/2015","165.00","164.94","165.35","162.23","3.55M","0.16%"
"07/06/2015","164.73","163.83","165.23","163.52","3.08M","-0.22%"
"07/02/2015","165.09","165.05","165.32","164.42","2.85M","0.36%"
"07/01/2015","164.49","163.97","165.61","163.60","3.21M","1.13%"
"06/30/2015","162.66","163.99","164.00","162.12","3.60M","-0.19%"
"06/29/2015","162.97","163.92","165.35","162.89","3.31M","-1.50%"
"06/26/2015","165.46","166.23","166.81","165.23","8.95M","-0.37%"
"06/25/2015","166.08","167.80","168.13","166.08","2.41M","-0.53%"
"06/24/2015","166.97","168.71","168.84","166.83","3.55M","-0.98%"
"06/23/2015","168.62","168.38","169.97","167.57","3.70M","0.53%"
"06/22/2015","167.73","167.65","168.34","167.20","2.34M","0.44%"
"06/19/2015","166.99","167.62","168.42","166.77","7.07M","-0.75%"
"06/18/2015","168.25","167.05","168.72","167.05","3.33M","0.65%"
"06/17/2015","167.17","167.00","167.85","166.10","2.86M","0.20%"
"06/16/2015","166.84","166.33","167.40","165.91","3.25M","0.35%"
"06/15/2015","166.26","165.33","166.44","164.25","4.25M","-0.44%"
"06/12/2015","166.99","168.23","168.30","166.69","3.07M","-1.06%"
"06/11/2015","168.78","169.26","170.44","168.54","3.46M","-0.08%"
"06/10/2015","168.92","166.49","169.39","166.06","4.68M","1.96%"
"06/09/2015","165.68","165.34","166.02","163.37","3.40M","0.21%"
"06/08/2015","165.34","167.17","167.28","165.02","3.76M","-1.23%"
"06/05/2015","167.40","168.25","168.91","167.20","3.10M","-0.58%"
"06/04/2015","168.38","169.53","170.60","167.93","3.08M","-0.91%"
"06/03/2015","169.92","170.50","171.56","169.63","2.13M","0.16%"
"06/02/2015","169.65","169.66","170.45","168.43","2.57M","-0.31%"
"06/01/2015","170.18","170.21","171.04","169.03","2.99M","0.31%"
"05/29/2015","169.65","171.35","171.35","169.65","4.09M","-1.20%"
"05/28/2015","171.71","171.45","171.84","170.66","1.73M","-0.17%"
"05/27/2015","172.00","171.16","172.48","170.49","2.76M","1.10%"
"05/26/2015","170.13","172.11","172.12","169.13","3.85M","-1.21%"
"05/22/2015","172.22","173.04","173.39","172.19","2.85M","-0.65%"
"05/21/2015","173.34","173.32","174.14","173.03","2.30M","-0.24%"
"05/20/2015","173.76","173.33","174.44","172.46","2.30M","0.16%"
"05/19/2015","173.48","172.97","173.75","171.93","2.52M","0.24%"
"05/18/2015","173.06","173.44","173.49","172.30","1.97M","-0.12%"
"05/15/2015","173.26","173.91","174.41","172.60","2.92M","-0.45%"
"05/14/2015","174.05","173.50","174.40","173.22","2.44M","1.03%"
"05/13/2015","172.28","171.24","172.74","170.75","2.46M","1.01%"
"05/12/2015","170.55","170.55","171.49","168.84","2.96M","-0.33%"
"05/11/2015","171.12","172.65","172.99","170.86","2.66M","-0.90%"
"05/08/2015","172.68","172.94","173.33","172.24","3.09M","0.99%"
"05/07/2015","170.99","169.63","171.98","169.04","2.47M","0.55%"
"05/06/2015","170.05","172.90","174.05","168.86","3.61M","-1.75%"
"05/05/2015","173.08","173.51","174.23","171.96","3.59M","-0.51%"
"05/04/2015","173.97","174.47","176.30","173.70","4.03M","0.17%"
"05/01/2015","173.67","173.20","174.00","172.42","3.31M","1.39%"
"04/30/2015","171.29","173.77","174.28","170.30","5.06M","-1.78%"
"04/29/2015","174.40","173.40","175.13","172.80","4.52M","0.28%"
"04/28/2015","173.92","170.83","174.69","170.02","5.82M","1.87%"
"04/27/2015","170.73","170.89","171.49","170.30","3.17M","0.56%"
"04/24/2015","169.78","170.23","170.85","168.74","3.89M","-0.27%"
"04/23/2015","170.24","165.23","171.91","165.14","8.24M","2.95%"
"04/22/2015","165.36","164.39","166.00","162.89","4.02M","0.67%"
"04/21/2015","164.26","166.07","167.38","164.05","9.68M","-1.14%"
"04/20/2015","166.16","162.10","166.64","161.90","9.61M","3.42%"
"04/17/2015","160.67","161.75","161.86","160.03","4.31M","-1.51%"
"04/16/2015","163.13","163.31","163.98","162.54","3.14M","-0.61%"
"04/15/2015","164.13","162.63","164.96","162.50","3.50M","1.13%"
"04/14/2015","162.30","162.42","162.74","160.79","2.72M","-0.05%"
"04/13/2015","162.38","162.37","164.00","162.36","3.87M","-0.29%"
"04/10/2015","162.86","162.34","163.33","161.25","2.52M","0.32%"
"04/09/2015","162.34","161.70","162.47","160.72","2.26M","0.30%"
"04/08/2015","161.85","161.72","163.55","161.01","2.52M","-0.14%"
"04/07/2015","162.07","161.67","163.84","161.62","3.15M","0.02%"
"04/06/2015","162.04","159.69","162.80","158.70","3.47M","0.99%"
"04/02/2015","160.45","159.52","162.54","158.89","4.67M","0.80%"
"04/01/2015","159.18","160.23","160.62","158.39","3.70M","-0.82%"
"03/31/2015","160.50","161.08","162.33","160.40","4.26M","-1.33%"
"03/30/2015","162.67","161.31","163.60","161.25","4.14M","1.42%"
"03/27/2015","160.40","160.79","160.90","159.23","3.48M","-0.12%"
"03/26/2015","160.59","159.27","161.25","158.91","4.40M","0.87%"
"03/25/2015","159.20","163.08","163.08","159.20","5.43M","-2.33%"
"03/24/2015","163.00","164.79","164.89","162.90","4.35M","-0.99%"
"03/23/2015","164.63","162.77","165.35","162.73","5.93M","1.07%"
"03/20/2015","162.88","160.95","163.00","160.35","9.01M","1.92%"
"03/19/2015","159.81","159.70","160.92","158.81","3.88M","0.00%"
"03/18/2015","159.81","156.85","160.70","155.80","5.74M","1.82%"
"03/17/2015","156.96","156.20","157.29","155.37","3.31M","-0.08%"
"03/16/2015","157.08","155.05","157.09","154.80","3.75M","1.81%"
"03/13/2015","154.28","157.46","157.52","153.40","6.06M","-2.34%"
"03/12/2015","157.98","156.27","158.72","156.27","4.57M","0.75%"
"03/11/2015","156.80","158.57","159.14","155.94","5.71M","-0.64%"
"03/10/2015","157.81","159.60","160.23","157.81","4.60M","-1.84%"
"03/09/2015","160.77","158.20","161.15","158.20","5.19M","1.43%"
"03/06/2015","158.50","160.19","161.44","158.06","4.54M","-1.66%"
"03/05/2015","161.18","159.86","161.50","159.70","3.79M","1.10%"
"03/04/2015","159.42","160.54","160.56","158.72","3.63M","-1.00%"
"03/03/2015","161.03","160.27","161.75","160.00","3.23M","0.34%"
"03/02/2015","160.48","161.68","161.89","159.81","5.92M","-0.90%"
"02/27/2015","161.94","161.05","162.29","160.16","4.41M","0.67%"
"02/26/2015","160.87","163.74","164.14","159.77","7.11M","-1.19%"
"02/25/2015","162.81","164.94","164.96","162.58","4.00M","-1.23%"
"02/24/2015","164.83","162.49","164.99","161.51","4.70M","1.18%"
"02/23/2015","162.91","164.23","164.40","162.50","2.71M","-0.45%"
"02/20/2015","163.65","163.64","164.34","162.09","3.35M","-0.15%"
"02/19/2015","163.89","162.05","164.49","161.44","3.50M","1.05%"
"02/18/2015","162.19","161.86","162.47","160.64","4.36M","0.76%"
"02/17/2015","160.96","159.75","161.41","159.73","2.89M","0.35%"
"02/13/2015","160.40","158.78","160.80","158.64","3.71M","1.19%"
"02/12/2015","158.52","158.72","159.50","158.09","3.33M","0.20%"
"02/11/2015","158.20","157.76","159.09","157.17","3.63M","-0.23%"
"02/10/2015","158.56","156.74","158.56","155.08","4.44M","1.80%"
"02/09/2015","155.75","156.00","157.50","155.40","3.06M","-0.62%"
"02/06/2015","156.72","157.34","158.08","156.23","3.26M","-0.75%"
"02/05/2015","157.91","157.29","158.59","157.15","5.25M","0.61%"
"02/04/2015","156.96","157.21","158.71","156.70","3.68M","-0.95%"
"02/03/2015","158.47","154.75","158.60","154.75","5.54M","2.46%"
"02/02/2015","154.66","154.00","154.66","151.51","4.71M","0.88%"
"01/30/2015","153.31","153.91","155.24","153.04","6.56M","-1.40%"
"01/29/2015","155.48","151.38","155.58","149.52","8.32M","2.59%"
"01/28/2015","151.55","154.00","154.53","151.55","4.50M","-1.38%"
"01/27/2015","153.67","154.94","155.09","152.59","5.66M","-1.72%"
"01/26/2015","156.36","158.26","159.46","155.77","7.89M","0.31%"
"01/23/2015","155.87","155.03","157.60","154.89","4.83M","0.31%"
"01/22/2015","155.39","151.94","155.72","151.76","6.12M","2.17%"
"01/21/2015","152.09","153.03","154.50","151.07","11.90M","-3.10%"
"01/20/2015","156.95","156.70","157.33","154.03","8.39M","-0.12%"
"01/16/2015","157.14","153.82","157.63","153.82","5.76M","1.66%"
"01/15/2015","154.57","156.69","156.97","154.16","4.25M","-0.79%"
"01/14/2015","155.80","154.86","156.49","153.74","4.69M","-0.64%"
"01/13/2015","156.81","157.26","159.97","155.68","4.38M","0.24%"
"01/12/2015","156.44","159.00","159.25","155.76","4.19M","-1.68%"
"01/09/2015","159.11","158.42","160.34","157.25","4.49M","0.44%"
"01/08/2015","158.42","156.24","159.04","155.55","4.24M","2.17%"
"01/07/2015","155.05","157.20","157.20","154.03","4.70M","-0.65%"
"01/06/2015","156.07","159.67","159.96","155.17","6.15M","-2.16%"
"01/05/2015","159.51","161.27","161.27","159.19","4.88M","-1.57%"
